NAMESPACE                     LAST SEEN   TYPE      REASON                                   OBJECT                                                      MESSAGE
default                       30m         Warning   DockerStart                              node/gke-dencer-play-default-pool-846d4868-hvpx             Starting docker.service...
default                       30m         Warning   ContainerdStart                          node/gke-dencer-play-default-pool-846d4868-hvpx             Starting containerd.service...
kube-system                   30m         Normal    Created                                  pod/kube-proxy-gke-dencer-play-default-pool-846d4868-kzdf   Container created
default                       30m         Normal    NodeAllocatableEnforced                  node/gke-dencer-play-default-pool-846d4868-tst6             Updated Node Allocatable limit across pods
default                       30m         Warning   KubeletStart                             node/gke-dencer-play-default-pool-846d4868-kzdf             Started kubelet.service.
kube-system                   30m         Normal    Created                                  pod/kube-proxy-gke-dencer-play-default-pool-846d4868-sbb6   Container created
kube-system                   30m         Normal    Started                                  pod/kube-proxy-gke-dencer-play-default-pool-846d4868-sbb6   Container started
default                       30m         Warning   NodeRegistrationCheckerStart             node/gke-dencer-play-default-pool-846d4868-kzdf             Sat Aug 15 16:04:46 UTC 2026 - ** Starting Node Registration Checker **
default                       30m         Warning   ContainerdStart                          node/gke-dencer-play-default-pool-846d4868-kzdf             Starting containerd.service...
default                       30m         Warning   DockerStart                              node/gke-dencer-play-default-pool-846d4868-kzdf             Starting docker.service...
default                       30m         Warning   NodeSysctlChange                         node/gke-dencer-play-default-pool-846d4868-kzdf             Node condition SysctlChanged is now: True, reason: NodeSysctlChange, message: "{\"unmanaged\": {\"kernel.cad_pid\": \"1\"}}"
kube-system                   30m         Normal    Created                                  pod/kube-proxy-gke-dencer-play-default-pool-846d4868-tst6   Container created
default                       30m         Normal    NodeHasSufficientPID                     node/gke-dencer-play-default-pool-846d4868-t20r             Node gke-dencer-play-default-pool-846d4868-t20r status is now: NodeHasSufficientPID
default                       30m         Warning   ReadOnlyFileSystemDetected               node/gke-dencer-play-default-pool-846d4868-hvpx             
kube-system                   30m         Normal    Pulled                                   pod/kube-proxy-gke-dencer-play-default-pool-846d4868-tst6   Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/kube-proxy:v1.35.6-gke.1258000" already present on machine and can be accessed by the pod
default                       30m         Normal    NodeHasSufficientMemory                  node/gke-dencer-play-default-pool-846d4868-t20r             Node gke-dencer-play-default-pool-846d4868-t20r status is now: NodeHasSufficientMemory
default                       30m         Normal    NodeHasSufficientMemory                  node/gke-dencer-play-default-pool-846d4868-sbb6             Node gke-dencer-play-default-pool-846d4868-sbb6 status is now: NodeHasSufficientMemory
kube-system                   30m         Normal    Started                                  pod/kube-proxy-gke-dencer-play-default-pool-846d4868-tst6   Container started
default                       30m         Normal    NodeHasNoDiskPressure                    node/gke-dencer-play-default-pool-846d4868-hvpx             Node gke-dencer-play-default-pool-846d4868-hvpx status is now: NodeHasNoDiskPressure
default                       30m         Normal    NodeHasSufficientMemory                  node/gke-dencer-play-default-pool-846d4868-hvpx             Node gke-dencer-play-default-pool-846d4868-hvpx status is now: NodeHasSufficientMemory
default                       30m         Normal    NodeHasSufficientPID                     node/gke-dencer-play-default-pool-846d4868-hvpx             Node gke-dencer-play-default-pool-846d4868-hvpx status is now: NodeHasSufficientPID
default                       30m         Normal    NodeHasNoDiskPressure                    node/gke-dencer-play-default-pool-846d4868-t20r             Node gke-dencer-play-default-pool-846d4868-t20r status is now: NodeHasNoDiskPressure
default                       30m         Normal    NodeHasSufficientPID                     node/gke-dencer-play-default-pool-846d4868-sbb6             Node gke-dencer-play-default-pool-846d4868-sbb6 status is now: NodeHasSufficientPID
default                       30m         Normal    NodeHasNoDiskPressure                    node/gke-dencer-play-default-pool-846d4868-sbb6             Node gke-dencer-play-default-pool-846d4868-sbb6 status is now: NodeHasNoDiskPressure
default                       30m         Normal    NodeHasSufficientPID                     node/gke-dencer-play-default-pool-846d4868-tst6             Node gke-dencer-play-default-pool-846d4868-tst6 status is now: NodeHasSufficientPID
default                       30m         Normal    NodeHasNoDiskPressure                    node/gke-dencer-play-default-pool-846d4868-tst6             Node gke-dencer-play-default-pool-846d4868-tst6 status is now: NodeHasNoDiskPressure
default                       30m         Normal    NodeHasSufficientMemory                  node/gke-dencer-play-default-pool-846d4868-tst6             Node gke-dencer-play-default-pool-846d4868-tst6 status is now: NodeHasSufficientMemory
kube-system                   30m         Normal    LeaderElection                           lease/kube-controller-manager                               gke-de2fa4bc43404d03b9ab-7832-8d0a-vm_69fe37df-a38a-40f7-aa6c-2e82e1e47ffc became leader
default                       30m         Normal    NodeHasSufficientPID                     node/gke-dencer-play-default-pool-846d4868-kzdf             Node gke-dencer-play-default-pool-846d4868-kzdf status is now: NodeHasSufficientPID
default                       30m         Normal    NodeHasNoDiskPressure                    node/gke-dencer-play-default-pool-846d4868-kzdf             Node gke-dencer-play-default-pool-846d4868-kzdf status is now: NodeHasNoDiskPressure
default                       30m         Normal    NodeHasSufficientMemory                  node/gke-dencer-play-default-pool-846d4868-kzdf             Node gke-dencer-play-default-pool-846d4868-kzdf status is now: NodeHasSufficientMemory
kube-system                   30m         Normal    LeaderElection                           lease/kube-scheduler                                        gke-de2fa4bc43404d03b9ab-7832-8d0a-vm_bed4e5ff-a033-48df-850f-93ada8224963 became leader
kube-system                   30m         Normal    LeaderElection                           lease/addon-manager                                         gke-de2fa4bc43404d03b9ab-7832-8d0a-vm_9742408a-e3cc-482a-b994-f24446b3e6e2 became leader
default                       30m         Warning   NodeRegistrationCheckerStart             node/gke-dencer-play-default-pool-846d4868-r3pj             Sat Aug 15 16:04:42 UTC 2026 - ** Starting Node Registration Checker **
default                       30m         Warning   NodeSysctlChange                         node/gke-dencer-play-default-pool-846d4868-r3pj             Node condition SysctlChanged is now: True, reason: NodeSysctlChange, message: "{\"unmanaged\": {\"kernel.cad_pid\": \"1\"}}"
default                       30m         Warning   ContainerdStart                          node/gke-dencer-play-default-pool-846d4868-r3pj             Starting containerd.service...
default                       30m         Warning   DockerStart                              node/gke-dencer-play-default-pool-846d4868-r3pj             Starting docker.service...
default                       30m         Warning   KubeletStart                             node/gke-dencer-play-default-pool-846d4868-r3pj             Started kubelet.service.
default                       30m         Warning   ReadOnlyFileSystemDetected               node/gke-dencer-play-default-pool-846d4868-r3pj             
